Weekending Date,Actual,Mean predictions,Lower Predicted Hours,Upper Predicted Hours,Head Count,Actual Chargeable Hours,Available Hours,Actual Util %,Predicted Chargeable hours,Predicted Util Mean%,Predicted Util Lower%,Predicted Util Upper%,Root mean square err 2020 (Mean Weekly ILC),Diff
03-01-2020,40.625,42.46551664,40.05813888,44.8728944,80,3250,3200,101.5625,3397.241331,106.1637916,100.1453472,112.182236,1.569814601,-1.840516641
10-01-2020,44.30487805,42.34825656,39.9417582,44.75475491,82,3633,3280,110.7621951,3472.557038,105.8706414,99.85439551,111.8868873,1.569814601,1.956621492
17-01-2020,39.11111111,41.20602263,38.8003577,43.61168756,81,3168,3240,97.77777778,3337.687833,103.0150566,97.00089424,109.0292189,1.569814601,-2.094911517
24-01-2020,37.39506173,36.48892212,34.08404814,38.8937961,81,3029,3240,93.48765432,2955.602692,91.2223053,85.21012035,97.23449026,1.569814601,0.906139607
31-01-2020,42.7125,43.0359008,40.63939161,45.43240999,80,3417,3200,106.78125,3442.872064,107.589752,101.598479,113.581025,1.569814601,-0.323400797
07-02-2020,44,42.82740874,40.43200013,45.22281735,79,3476,3160,110,3383.36529,107.0685218,101.0800003,113.0570434,1.569814601,1.172591261
14-02-2020,42.20987654,42.83290936,40.43853705,45.22728166,81,3419,3240,105.5246914,3469.465658,107.0822734,101.0963426,113.0682042,1.569814601,-0.623032813
21-02-2020,43.925,42.4932616,40.09986679,44.88665642,80,3514,3200,109.8125,3399.460928,106.233154,100.249667,112.216641,1.569814601,1.431738396
28-02-2020,44.13580247,42.24585786,39.8533866,44.63832912,81,3575,3240,110.3395062,3421.914487,105.6146446,99.6334665,111.5958228,1.569814601,1.889944611
06-03-2020,43.36585366,43.21678543,40.82518813,45.60838272,82,3556,3280,108.4146341,3543.776405,108.0419636,102.0629703,114.0209568,1.569814601,0.149068232
13-03-2020,36.15060241,37.23688693,34.8461179,39.62765597,83,3000.5,3320,90.37650602,3090.661616,93.09221734,87.11529474,99.06913993,1.569814601,-1.086284524
20-03-2020,43,42.71747251,40.32748952,45.10745549,83,3569,3320,107.5,3545.550218,106.7936813,100.8187238,112.7686387,1.569814601,0.282527494
27-03-2020,41.65714286,40.37188892,37.98265292,42.76112492,84,3499.2,3360,104.1428571,3391.238669,100.9297223,94.9566323,106.9028123,1.569814601,1.285253937
03-04-2020,43.03571429,43.18240522,40.79387998,45.57093045,84,3615,3360,107.5892857,3627.322038,107.956013,101.9846999,113.9273261,1.569814601,-0.14669093
10-04-2020,37.63414634,34.75249893,32.36465081,37.14034705,82,3086,3280,94.08536585,2849.704912,86.88124732,80.91162702,92.85086762,1.569814601,2.881647412
17-04-2020,43.51898734,43.51860903,41.13140671,45.90581134,79,3438,3160,108.7974684,3437.970113,108.7965226,102.8285168,114.7645284,1.569814601,0.000378315
24-04-2020,43.48837209,43.13415128,40.75367243,45.51463013,86,3740,3440,108.7209302,3709.53701,107.8353782,101.8841811,113.7865753,1.569814601,0.35422081
01-05-2020,37.1627907,35.25852759,32.87891833,37.63813686,86,3196,3440,92.90697674,3032.233373,88.14631898,82.19729581,94.09534215,1.569814601,1.904263106
08-05-2020,42.8,43.12239377,40.74360861,45.50117893,85,3638,3400,107,3665.403471,107.8059844,101.8590215,113.7529473,1.569814601,-0.322393774
15-05-2020,43.95294118,42.89501221,40.51700916,45.27301526,85,3736,3400,109.8823529,3646.076038,107.2375305,101.2925229,113.1825382,1.569814601,1.057928962
22-05-2020,36.98235294,42.57621401,40.19895421,44.95347382,85,3143.5,3400,92.45588235,3618.978191,106.440535,100.4973855,112.3836846,1.569814601,-5.593861073
29-05-2020,32.575,33.85917259,31.48261998,36.2357252,80,2606,3200,81.4375,2708.733807,84.64793148,78.70654996,90.58931299,1.569814601,-1.28417259
05-06-2020,42.16470588,42.46847654,40.09259765,44.84435542,85,3584,3400,105.4117647,3609.820506,106.1711913,100.2314941,112.1108886,1.569814601,-0.303770655
12-06-2020,42.82142857,42.69260945,40.31737313,45.06784577,84,3597,3360,107.0535714,3586.179194,106.7315236,100.7934328,112.6696144,1.569814601,0.128819124
19-06-2020,43.41764706,42.38859479,40.01397199,44.7632176,85,3690.5,3400,108.5441176,3603.030557,105.971487,100.03493,111.908044,1.569814601,1.029052265
26-06-2020,43.17261905,43.05272804,40.67869164,45.42676445,84,3626.5,3360,107.9315476,3616.429156,107.6318201,101.6967291,113.5669111,1.569814601,0.119891005
03-07-2020,42.84337349,42.95492933,40.58145396,45.32840469,83,3556,3320,107.1084337,3565.259134,107.3873233,101.4536349,113.3210117,1.569814601,-0.111555832
10-07-2020,42.51807229,42.86385737,40.4909193,45.23679545,83,3529,3320,106.2951807,3557.700162,107.1596434,101.2272982,113.0919886,1.569814601,-0.345785082
17-07-2020,43.13414634,42.8318333,40.46441726,45.19924935,82,3537,3280,107.8353659,3512.210331,107.0795833,101.1610431,112.9981234,1.569814601,0.302313037
24-07-2020,43.80952381,43.17340818,40.80669641,45.54011995,84,3680,3360,109.5238095,3626.566287,107.9335204,102.016741,113.8502999,1.569814601,0.636115634
31-07-2020,45.01204819,42.66813294,40.30209211,45.03417378,83,3736,3320,112.5301205,3541.455034,106.6703324,100.7552303,112.5854345,1.569814601,2.343915249
07-08-2020,,43.30344535,40.93804442,45.66884628,83,,3320,,3594.185964,108.2586134,102.345111,114.1721157,1.569814601,
14-08-2020,,39.81844812,37.39978842,42.23710783,83,,3320,,3304.931194,99.5461203,93.49947104,105.5927696,1.569814601,
21-08-2020,,42.60947164,40.18694016,45.03200313,83,,3320,,3536.586146,106.5236791,100.4673504,112.5800078,1.569814601,
28-08-2020,,42.85574688,40.4327022,45.27879156,83,,3320,,3557.026991,107.1393672,101.0817555,113.1969789,1.569814601,
04-09-2020,,42.85893853,40.43580382,45.28207324,83,,3320,,3557.291898,107.1473463,101.0895096,113.2051831,1.569814601,
11-09-2020,,42.50870414,40.08555247,44.93185581,83,,3320,,3528.222443,106.2717603,100.2138812,112.3296395,1.569814601,
18-09-2020,,42.88779492,40.46464001,45.31094983,83,,3320,,3559.686978,107.2194873,101.1616,113.2773746,1.569814601,
25-09-2020,,42.88634022,40.46318468,45.30949575,83,,3320,,3559.566238,107.2158505,101.1579617,113.2737394,1.569814601,
02-10-2020,,34.8854974,32.46234174,37.30865305,83,,3320,,2895.496284,87.21374349,81.15585435,93.27163263,1.569814601,
09-10-2020,,42.92993937,40.50902625,45.35085249,83,,3320,,3563.184967,107.3248484,101.2725656,113.3771312,1.569814601,
16-10-2020,,43.19180547,40.77006522,45.61354573,83,,3320,,3584.919854,107.9795137,101.925163,114.0338643,1.569814601,
23-10-2020,,36.77047214,34.34852693,39.19241736,83,,3320,,3051.949188,91.92618036,85.87131731,97.98104341,1.569814601,
30-10-2020,,34.85384025,32.4180076,37.28967289,83,,3320,,2892.868741,87.13460062,81.04501901,93.22418223,1.569814601,
06-11-2020,,41.6523651,39.21504233,44.08968786,83,,3320,,3457.146303,104.1309127,98.03760583,110.2242197,1.569814601,
13-11-2020,,42.52055285,40.08298718,44.95811851,83,,3320,,3529.205886,106.3013821,100.207468,112.3952963,1.569814601,
20-11-2020,,34.82587444,32.38826375,37.26348513,83,,3320,,2890.547578,87.06468609,80.97065937,93.15871282,1.569814601,
27-11-2020,,42.78500989,40.34739062,45.22262916,83,,3320,,3551.155821,106.9625247,100.8684766,113.0565729,1.569814601,
04-12-2020,,42.43523854,39.99761763,44.87285946,83,,3320,,3522.124799,106.0880964,99.99404407,112.1821486,1.569814601,
11-12-2020,,42.81441817,40.37679694,45.2520394,83,,3320,,3553.596708,107.0360454,100.9419924,113.1300985,1.569814601,
18-12-2020,,42.81298052,40.37535923,45.25060181,83,,3320,,3553.477383,107.0324513,100.9383981,113.1265045,1.569814601,
25-12-2020,,34.81214097,32.37451966,37.24976227,83,,3320,,2889.4077,87.03035242,80.93629916,93.12440568,1.569814601,
